Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,Kandidát
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,9,František,Mikloško,  24,8.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,10,Robert,Mistrík,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,11,Maroš,Šefèoviè,  58,21.48,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,12,Róbert,Švec,  1,0.37,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518271,Detvianska Huta,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,1,Béla,Bugár,  4,1.01,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,2,Zuzana,Èaputová,  88,22.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,3,Martin,Daòo,  1,0.25,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,4,Štefan,Harabin,  64,16.28,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,5,Eduard,Chmelár,  16,4.07,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,6,Marian,Kotleba,  96,24.42,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,7,Milan,Krajniak,  4,1.01,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,9,František,Mikloško,  5,1.27,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,10,Robert,Mistrík,  2,0.50,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,11,Maroš,Šefèoviè,  113,28.75,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518379,Dúbravy,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,1,Béla,Bugár,  1,1.21,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,2,Zuzana,Èaputová,  20,24.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,3,Martin,Daòo,  1,1.21,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,4,Štefan,Harabin,  7,8.53,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,5,Eduard,Chmelár,  3,3.65,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,6,Marian,Kotleba,  23,28.04,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,7,Milan,Krajniak,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,9,František,Mikloško,  3,3.65,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,10,Robert,Mistrík,  1,1.21,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,11,Maroš,Šefèoviè,  23,28.04,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,14,Juraj,Zábojník,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518450,Hornı Tisovník,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,1,Béla,Bugár,  28,1.07,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,2,Zuzana,Èaputová,  590,22.75,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,3,Martin,Daòo,  10,0.38,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,4,Štefan,Harabin,  557,21.48,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,5,Eduard,Chmelár,  49,1.88,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,6,Marian,Kotleba,  452,17.43,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,7,Milan,Krajniak,  78,3.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,9,František,Mikloško,  138,5.32,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,10,Robert,Mistrík,  4,0.15,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,11,Maroš,Šefèoviè,  666,25.68,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,12,Róbert,Švec,  12,0.46,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,13,Bohumila,Tauchmannová,  1,0.03,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,14,Juraj,Zábojník,  4,0.15,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518468,Hriòová,15,Ivan,Zuzula,  4,0.15,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,1,Béla,Bugár,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,2,Zuzana,Èaputová,  47,21.86,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,3,Martin,Daòo,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,4,Štefan,Harabin,  26,12.09,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,5,Eduard,Chmelár,  2,0.93,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,6,Marian,Kotleba,  58,26.97,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,7,Milan,Krajniak,  6,2.79,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,9,František,Mikloško,  11,5.11,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,10,Robert,Mistrík,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,11,Maroš,Šefèoviè,  62,28.83,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,12,Róbert,Švec,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,14,Juraj,Zábojník,  3,1.39,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518492,Klokoè,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,1,Béla,Bugár,  1,0.25,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,2,Zuzana,Èaputová,  115,29.11,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,3,Martin,Daòo,  4,1.01,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,4,Štefan,Harabin,  46,11.64,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,5,Eduard,Chmelár,  8,2.02,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,6,Marian,Kotleba,  73,18.48,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,7,Milan,Krajniak,  12,3.03,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,9,František,Mikloško,  22,5.56,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,10,Robert,Mistrík,  2,0.50,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,11,Maroš,Šefèoviè,  108,27.34,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,12,Róbert,Švec,  3,0.75,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,13,Bohumila,Tauchmannová,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,14,Juraj,Zábojník,  1,0.25,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,580520,Korytárky,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,1,Béla,Bugár,  9,1.09,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,2,Zuzana,Èaputová,  230,28.04,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,3,Martin,Daòo,  7,0.85,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,4,Štefan,Harabin,  113,13.78,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,5,Eduard,Chmelár,  29,3.53,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,6,Marian,Kotleba,  153,18.65,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,7,Milan,Krajniak,  23,2.80,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,9,František,Mikloško,  34,4.14,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,10,Robert,Mistrík,  1,0.12,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,11,Maroš,Šefèoviè,  211,25.73,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,12,Róbert,Švec,  7,0.85,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,13,Bohumila,Tauchmannová,  2,0.24,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,14,Juraj,Zábojník,  1,0.12,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,518549,Kriváò,15,Ivan,Zuzula,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,1,Béla,Bugár,  2,0.72,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,2,Zuzana,Èaputová,  56,20.43,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,3,Martin,Daòo,  0,0.00,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,4,Štefan,Harabin,  64,23.35,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,5,Eduard,Chmelár,  10,3.64,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,6,Marian,Kotleba,  46,16.78,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,7,Milan,Krajniak,  11,4.01,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,8,József,Menyhárt,  0,0.00,X
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,9,František,Mikloško,  8,2.91,
6,Banskobystrickı kraj,606,Zvolen,604,Detva,511510,Látky,10,Robert,Mistrík,  1,0.36,X
