Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
2,Trnavskı kraj,201,Dunajská Streda,2,Zuzana,Èaputová, 18 758,54.59, 8 042,58.38, 10 716,52.06,
2,Trnavskı kraj,201,Dunajská Streda,3,Martin,Daòo,  130,0.37,  57,0.41,  73,0.35,
2,Trnavskı kraj,201,Dunajská Streda,4,Štefan,Harabin, 2 029,5.90,  849,6.16, 1 180,5.73,
2,Trnavskı kraj,201,Dunajská Streda,5,Eduard,Chmelár,  372,1.08,  167,1.21,  205,0.99,
2,Trnavskı kraj,201,Dunajská Streda,6,Marian,Kotleba,  914,2.66,  328,2.38,  586,2.84,
2,Trnavskı kraj,201,Dunajská Streda,7,Milan,Krajniak,  500,1.45,  184,1.33,  316,1.53,
2,Trnavskı kraj,201,Dunajská Streda,8,József,Menyhárt,  190,0.55,  70,0.50,  120,0.58,X
2,Trnavskı kraj,201,Dunajská Streda,9,František,Mikloško,  713,2.07,  366,2.65,  347,1.68,
2,Trnavskı kraj,201,Dunajská Streda,10,Robert,Mistrík,  44,0.12,  15,0.10,  29,0.14,X
2,Trnavskı kraj,201,Dunajská Streda,11,Maroš,Šefèoviè, 1 846,5.37,  817,5.93, 1 029,4.99,
2,Trnavskı kraj,201,Dunajská Streda,12,Róbert,Švec,  35,0.10,  17,0.12,  18,0.08,
2,Trnavskı kraj,201,Dunajská Streda,13,Bohumila,Tauchmannová,  43,0.12,  10,0.07,  33,0.16,
2,Trnavskı kraj,201,Dunajská Streda,14,Juraj,Zábojník,  64,0.18,  36,0.26,  28,0.13,
2,Trnavskı kraj,201,Dunajská Streda,15,Ivan,Zuzula,  41,0.11,  13,0.09,  28,0.13,
2,Trnavskı kraj,202,Galanta,1,Béla,Bugár, 3 594,10.48,  591,4.16, 3 003,14.94,
2,Trnavskı kraj,202,Galanta,2,Zuzana,Èaputová, 15 340,44.76, 6 429,45.34, 8 911,44.34,
2,Trnavskı kraj,202,Galanta,3,Martin,Daòo,  178,0.51,  82,0.57,  96,0.47,
2,Trnavskı kraj,202,Galanta,4,Štefan,Harabin, 3 824,11.15, 1 795,12.66, 2 029,10.09,
2,Trnavskı kraj,202,Galanta,5,Eduard,Chmelár, 1 390,4.05,  792,5.58,  598,2.97,
2,Trnavskı kraj,202,Galanta,6,Marian,Kotleba, 2 773,8.09, 1 192,8.40, 1 581,7.86,
2,Trnavskı kraj,202,Galanta,7,Milan,Krajniak,  962,2.80,  396,2.79,  566,2.81,
