Kód kraja,Názov kraja,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platných hlasov,Podiel platných hlasov z platných hlasov pre všetkých kandidátov v %,"Poèet platných hlasov v mestách a mestských èastiach","Podiel platných hlasov v mestách a mestských èastiach v %","Poèet platných hlasov v obciach","Podiel platných hlasov v obciach v %",Kandidát
7,Prešovský kraj,3,Martin,Daòo, 1 667,0.57,  774,0.54,  893,0.60,
7,Prešovský kraj,4,Štefan,Harabin, 53 365,18.37, 25 210,17.69, 28 155,19.03,
7,Prešovský kraj,5,Eduard,Chmelár, 7 123,2.45, 3 892,2.73, 3 231,2.18,
7,Prešovský kraj,6,Marian,Kotleba, 33 514,11.54, 13 172,9.24, 20 342,13.75,
7,Prešovský kraj,7,Milan,Krajniak, 11 677,4.02, 4 882,3.42, 6 795,4.59,
7,Prešovský kraj,8,József,Menyhárt,  76,0.02,  22,0.01,  54,0.03,X
7,Prešovský kraj,9,František,Mikloško, 28 461,9.80, 12 515,8.78, 15 946,10.78,
7,Prešovský kraj,10,Robert,Mistrík,  498,0.17,  185,0.12,  313,0.21,X
7,Prešovský kraj,11,Maroš,Šefèoviè, 58 522,20.15, 27 195,19.09, 31 327,21.17,
7,Prešovský kraj,12,Róbert,Švec,  892,0.30,  401,0.28,  491,0.33,
7,Prešovský kraj,13,Bohumila,Tauchmannová,  550,0.18,  226,0.15,  324,0.21,
7,Prešovský kraj,14,Juraj,Zábojník,  876,0.30,  319,0.22,  557,0.37,
7,Prešovský kraj,15,Ivan,Zuzula,  584,0.20,  226,0.15,  358,0.24,
8,Košický kraj,1,Béla,Bugár, 10 394,4.01, 3 734,2.46, 6 660,6.22,
8,Košický kraj,2,Zuzana,Èaputová, 100 770,38.97, 66 843,44.09, 33 927,31.71,
8,Košický kraj,3,Martin,Daòo, 1 605,0.62,  874,0.57,  731,0.68,
8,Košický kraj,4,Štefan,Harabin, 39 338,15.21, 22 767,15.01, 16 571,15.49,
8,Košický kraj,5,Eduard,Chmelár, 6 554,2.53, 4 297,2.83, 2 257,2.10,
8,Košický kraj,6,Marian,Kotleba, 26 900,10.40, 12 584,8.30, 14 316,13.38,
8,Košický kraj,7,Milan,Krajniak, 9 238,3.57, 4 851,3.19, 4 387,4.10,
8,Košický kraj,8,József,Menyhárt,  184,0.07,  57,0.03,  127,0.11,X
8,Košický kraj,9,František,Mikloško, 14 201,5.49, 8 419,5.55, 5 782,5.40,
8,Košický kraj,10,Robert,Mistrík,  376,0.14,  194,0.12,  182,0.17,X
8,Košický kraj,11,Maroš,Šefèoviè, 46 862,18.12, 25 877,17.06, 20 985,19.61,
8,Košický kraj,12,Róbert,Švec,  693,0.26,  348,0.22,  345,0.32,
8,Košický kraj,13,Bohumila,Tauchmannová,  399,0.15,  207,0.13,  192,0.17,
8,Košický kraj,14,Juraj,Zábojník,  583,0.22,  298,0.19,  285,0.26,
8,Košický kraj,15,Ivan,Zuzula,  472,0.18,  249,0.16,  223,0.20,
