Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %",Kandidát
2,Trnavskı kraj,205,Trnava,203,Hlohovec,1,Béla,Bugár,  163,0.86,  82,0.75,  81,0.99,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,2,Zuzana,Èaputová, 6 844,36.18, 4 124,38.19, 2 720,33.50,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,3,Martin,Daòo,  102,0.53,  50,0.46,  52,0.64,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,4,Štefan,Harabin, 3 163,16.72, 1 856,17.18, 1 307,16.10,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,5,Eduard,Chmelár,  555,2.93,  326,3.01,  229,2.82,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,6,Marian,Kotleba, 2 295,12.13, 1 150,10.65, 1 145,14.10,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,7,Milan,Krajniak,  522,2.75,  340,3.14,  182,2.24,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,8,József,Menyhárt,  2,0.01,  1,0.00,  1,0.01,X
2,Trnavskı kraj,205,Trnava,203,Hlohovec,9,František,Mikloško, 1 038,5.48,  574,5.31,  464,5.71,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,10,Robert,Mistrík,  30,0.15,  18,0.16,  12,0.14,X
2,Trnavskı kraj,205,Trnava,203,Hlohovec,11,Maroš,Šefèoviè, 3 951,20.88, 2 130,19.72, 1 821,22.43,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,12,Róbert,Švec,  139,0.73,  93,0.86,  46,0.56,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,13,Bohumila,Tauchmannová,  25,0.13,  6,0.05,  19,0.23,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,14,Juraj,Zábojník,  46,0.24,  25,0.23,  21,0.25,
2,Trnavskı kraj,205,Trnava,203,Hlohovec,15,Ivan,Zuzula,  41,0.21,  23,0.21,  18,0.22,
2,Trnavskı kraj,205,Trnava,207,Trnava,1,Béla,Bugár,  451,0.76,  188,0.67,  263,0.85,
2,Trnavskı kraj,205,Trnava,207,Trnava,2,Zuzana,Èaputová, 25 673,43.73, 13 226,47.48, 12 447,40.35,
2,Trnavskı kraj,205,Trnava,207,Trnava,3,Martin,Daòo,  279,0.47,  132,0.47,  147,0.47,
2,Trnavskı kraj,205,Trnava,207,Trnava,4,Štefan,Harabin, 8 660,14.75, 3 652,13.11, 5 008,16.23,
2,Trnavskı kraj,205,Trnava,207,Trnava,5,Eduard,Chmelár, 1 703,2.90,  882,3.16,  821,2.66,
2,Trnavskı kraj,205,Trnava,207,Trnava,6,Marian,Kotleba, 5 389,9.18, 2 096,7.52, 3 293,10.67,
2,Trnavskı kraj,205,Trnava,207,Trnava,7,Milan,Krajniak, 1 530,2.60,  694,2.49,  836,2.71,
2,Trnavskı kraj,205,Trnava,207,Trnava,8,József,Menyhárt,  6,0.01,  1,0.00,  5,0.01,X
2,Trnavskı kraj,205,Trnava,207,Trnava,9,František,Mikloško, 3 497,5.95, 1 798,6.45, 1 699,5.50,
2,Trnavskı kraj,205,Trnava,207,Trnava,10,Robert,Mistrík,  66,0.11,  26,0.09,  40,0.12,X
2,Trnavskı kraj,205,Trnava,207,Trnava,11,Maroš,Šefèoviè, 10 962,18.67, 4 945,17.75, 6 017,19.50,
2,Trnavskı kraj,205,Trnava,207,Trnava,12,Róbert,Švec,  194,0.33,  74,0.26,  120,0.38,
2,Trnavskı kraj,205,Trnava,207,Trnava,13,Bohumila,Tauchmannová,  78,0.13,  36,0.12,  42,0.13,
2,Trnavskı kraj,205,Trnava,207,Trnava,14,Juraj,Zábojník,  121,0.20,  62,0.22,  59,0.19,
2,Trnavskı kraj,205,Trnava,207,Trnava,15,Ivan,Zuzula,  89,0.15,  43,0.15,  46,0.14,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,1,Béla,Bugár,  196,1.22,  82,1.09,  114,1.33,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,2,Zuzana,Èaputová, 4 811,30.03, 2 473,33.08, 2 338,27.36,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,3,Martin,Daòo,  81,0.50,  33,0.44,  48,0.56,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,4,Štefan,Harabin, 2 469,15.41, 1 178,15.76, 1 291,15.10,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,5,Eduard,Chmelár,  518,3.23,  254,3.39,  264,3.08,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,6,Marian,Kotleba, 2 425,15.13, 1 041,13.92, 1 384,16.19,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,7,Milan,Krajniak,  454,2.83,  193,2.58,  261,3.05,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,8,József,Menyhárt,  3,0.01,  1,0.01,  2,0.02,X
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,9,František,Mikloško,  765,4.77,  301,4.02,  464,5.43,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,10,Robert,Mistrík,  20,0.12,  9,0.12,  11,0.12,X
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,11,Maroš,Šefèoviè, 4 109,25.65, 1 860,24.88, 2 249,26.31,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,12,Róbert,Švec,  55,0.34,  19,0.25,  36,0.42,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,13,Bohumila,Tauchmannová,  28,0.17,  8,0.10,  20,0.23,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,14,Juraj,Zábojník,  54,0.33,  15,0.20,  39,0.45,
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,15,Ivan,Zuzula,  31,0.19,  7,0.09,  24,0.28,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,1,Béla,Bugár,  95,0.83,  46,0.67,  49,1.09,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,2,Zuzana,Èaputová, 5 366,47.39, 3 386,49.34, 1 980,44.38,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,3,Martin,Daòo,  78,0.68,  40,0.58,  38,0.85,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,4,Štefan,Harabin, 1 283,11.33,  758,11.04,  525,11.76,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,5,Eduard,Chmelár,  347,3.06,  212,3.08,  135,3.02,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,6,Marian,Kotleba,  999,8.82,  544,7.92,  455,10.19,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,7,Milan,Krajniak,  237,2.09,  132,1.92,  105,2.35,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,8,József,Menyhárt,  4,0.03,  3,0.04,  1,0.02,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,9,František,Mikloško,  174,1.53,  117,1.70,  57,1.27,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,10,Robert,Mistrík,  15,0.13,  5,0.07,  10,0.22,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,11,Maroš,Šefèoviè, 2 583,22.81, 1 544,22.50, 1 039,23.29,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,12,Róbert,Švec,  43,0.37,  29,0.42,  14,0.31,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,13,Bohumila,Tauchmannová,  17,0.15,  10,0.14,  7,0.15,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,14,Juraj,Zábojník,  56,0.49,  20,0.29,  36,0.80,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,15,Ivan,Zuzula,  26,0.22,  16,0.23,  10,0.22,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,1,Béla,Bugár,  287,1.03,  125,0.98,  162,1.08,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,2,Zuzana,Èaputová, 11 148,40.37, 5 574,43.91, 5 574,37.36,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,3,Martin,Daòo,  138,0.49,  69,0.54,  69,0.46,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,4,Štefan,Harabin, 3 852,13.95, 1 753,13.81, 2 099,14.07,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,5,Eduard,Chmelár,  841,3.04,  423,3.33,  418,2.80,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,6,Marian,Kotleba, 3 238,11.72, 1 138,8.96, 2 100,14.07,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,7,Milan,Krajniak,  702,2.54,  314,2.47,  388,2.60,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,8,József,Menyhárt,  4,0.01,  3,0.02,  1,0.00,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,9,František,Mikloško, 1 208,4.37,  541,4.26,  667,4.47,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,10,Robert,Mistrík,  50,0.18,  26,0.20,  24,0.16,X
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,11,Maroš,Šefèoviè, 5 877,21.28, 2 603,20.50, 3 274,21.94,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,12,Róbert,Švec,  96,0.34,  49,0.38,  47,0.31,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,13,Bohumila,Tauchmannová,  41,0.14,  19,0.14,  22,0.14,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,14,Juraj,Zábojník,  78,0.28,  38,0.29,  40,0.26,
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,15,Ivan,Zuzula,  50,0.18,  17,0.13,  33,0.22,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,1,Béla,Bugár,  310,1.14,  174,1.02,  136,1.34,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,2,Zuzana,Èaputová, 8 620,31.87, 6 326,37.32, 2 294,22.73,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,3,Martin,Daòo,  133,0.49,  70,0.41,  63,0.62,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,4,Štefan,Harabin, 4 746,17.55, 2 700,15.93, 2 046,20.27,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,5,Eduard,Chmelár,  928,3.43,  597,3.52,  331,3.28,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,6,Marian,Kotleba, 4 028,14.89, 1 987,11.72, 2 041,20.22,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,7,Milan,Krajniak,  803,2.96,  527,3.10,  276,2.73,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,8,József,Menyhárt,  1,0.00,  0,0.00,  1,0.00,X
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,9,František,Mikloško, 1 351,4.99,  811,4.78,  540,5.35,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,10,Robert,Mistrík,  40,0.14,  24,0.14,  16,0.15,X
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,11,Maroš,Šefèoviè, 5 794,21.42, 3 556,20.98, 2 238,22.17,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,12,Róbert,Švec,  92,0.34,  48,0.28,  44,0.43,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,13,Bohumila,Tauchmannová,  32,0.11,  21,0.12,  11,0.10,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,14,Juraj,Zábojník,  111,0.41,  75,0.44,  36,0.35,
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,15,Ivan,Zuzula,  51,0.18,  33,0.19,  18,0.17,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,1,Béla,Bugár,  262,1.36,  74,0.96,  188,1.63,
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,2,Zuzana,Èaputová, 6 304,32.91, 2 916,37.99, 3 388,29.51,
