Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,102,Malacky,106,Malacky,508080,Marianka,1,Zuzana,Èaputová,  835,80.05
1,Bratislavskı kraj,102,Malacky,106,Malacky,508080,Marianka,2,Maroš,Šefèoviè,  208,19.94
1,Bratislavskı kraj,102,Malacky,106,Malacky,508161,Pernek,1,Zuzana,Èaputová,  178,58.16
1,Bratislavskı kraj,102,Malacky,106,Malacky,508161,Pernek,2,Maroš,Šefèoviè,  128,41.83
1,Bratislavskı kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,1,Zuzana,Èaputová,  205,69.49
1,Bratislavskı kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,2,Maroš,Šefèoviè,  90,30.50
1,Bratislavskı kraj,102,Malacky,106,Malacky,504637,Plaveckı Mikuláš,1,Zuzana,Èaputová,  165,53.74
1,Bratislavskı kraj,102,Malacky,106,Malacky,504637,Plaveckı Mikuláš,2,Maroš,Šefèoviè,  142,46.25
1,Bratislavskı kraj,102,Malacky,106,Malacky,508195,Plaveckı Štvrtok,1,Zuzana,Èaputová,  496,62.54
1,Bratislavskı kraj,102,Malacky,106,Malacky,508195,Plaveckı Štvrtok,2,Maroš,Šefèoviè,  297,37.45
1,Bratislavskı kraj,102,Malacky,106,Malacky,504769,Rohoník,1,Zuzana,Èaputová,  728,64.53
1,Bratislavskı kraj,102,Malacky,106,Malacky,504769,Rohoník,2,Maroš,Šefèoviè,  400,35.46
1,Bratislavskı kraj,102,Malacky,106,Malacky,504858,Sološnica,1,Zuzana,Èaputová,  411,62.27
1,Bratislavskı kraj,102,Malacky,106,Malacky,504858,Sološnica,2,Maroš,Šefèoviè,  249,37.72
1,Bratislavskı kraj,102,Malacky,106,Malacky,504874,Studienka,1,Zuzana,Èaputová,  339,57.94
1,Bratislavskı kraj,102,Malacky,106,Malacky,504874,Studienka,2,Maroš,Šefèoviè,  246,42.05
1,Bratislavskı kraj,102,Malacky,106,Malacky,508233,Stupava,1,Zuzana,Èaputová, 3 907,76.80
