Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,1,Zuzana,Èaputová, 25 813,83.94, 10 672,83.97, 15 141,83.93
2,Trnavskı kraj,201,Dunajská Streda,201,Dunajská Streda,2,Maroš,Šefèoviè, 4 936,16.05, 2 037,16.02, 2 899,16.06
2,Trnavskı kraj,202,Galanta,202,Galanta,1,Zuzana,Èaputová, 19 686,68.25, 7 914,65.91, 11 772,69.93
2,Trnavskı kraj,202,Galanta,202,Galanta,2,Maroš,Šefèoviè, 9 154,31.74, 4 093,34.08, 5 061,30.06
2,Trnavskı kraj,203,Piešany,204,Piešany,1,Zuzana,Èaputová, 14 451,60.03, 8 767,63.99, 5 684,54.80
2,Trnavskı kraj,203,Piešany,204,Piešany,2,Maroš,Šefèoviè, 9 620,39.96, 4 933,36.00, 4 687,45.19
2,Trnavskı kraj,204,Senica,205,Senica,1,Zuzana,Èaputová, 13 224,61.58, 5 081,61.33, 8 143,61.74
2,Trnavskı kraj,204,Senica,205,Senica,2,Maroš,Šefèoviè, 8 249,38.41, 3 203,38.66, 5 046,38.25
2,Trnavskı kraj,204,Senica,206,Skalica,1,Zuzana,Èaputová, 11 428,68.14, 7 774,70.33, 3 654,63.92
2,Trnavskı kraj,204,Senica,206,Skalica,2,Maroš,Šefèoviè, 5 341,31.85, 3 279,29.66, 2 062,36.07
2,Trnavskı kraj,205,Trnava,203,Hlohovec,1,Zuzana,Èaputová, 8 162,52.48, 4 930,54.78, 3 232,49.32
2,Trnavskı kraj,205,Trnava,203,Hlohovec,2,Maroš,Šefèoviè, 7 388,47.51, 4 068,45.21, 3 320,50.67
2,Trnavskı kraj,205,Trnava,207,Trnava,1,Zuzana,Èaputová, 30 434,60.72, 15 553,63.94, 14 881,57.68
2,Trnavskı kraj,205,Trnava,207,Trnava,2,Maroš,Šefèoviè, 19 682,39.27, 8 768,36.05, 10 914,42.31
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,1,Zuzana,Èaputová, 5 928,45.03, 2 887,47.73, 3 041,42.74
3,Trenèiansky kraj,301,Bánovce nad Bebravou,301,Bánovce nad Bebravou,2,Maroš,Šefèoviè, 7 234,54.96, 3 161,52.26, 4 073,57.25
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,1,Zuzana,Èaputová, 6 220,60.87, 3 827,62.45, 2 393,58.50
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,303,Myjava,2,Maroš,Šefèoviè, 3 998,39.12, 2 301,37.54, 1 697,41.49
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,1,Zuzana,Èaputová, 13 286,56.40, 6 700,60.05, 6 586,53.12
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,304,Nové Mesto nad Váhom,2,Maroš,Šefèoviè, 10 267,43.59, 4 456,39.94, 5 811,46.87
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,1,Zuzana,Èaputová, 9 982,44.98, 7 184,50.75, 2 798,34.82
3,Trenèiansky kraj,303,Povaská Bystrica,306,Povaská Bystrica,2,Maroš,Šefèoviè, 12 207,55.01, 6 971,49.24, 5 236,65.17
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,1,Zuzana,Èaputová, 7 536,46.62, 3 312,51.11, 4 224,43.61
3,Trenèiansky kraj,303,Povaská Bystrica,308,Púchov,2,Maroš,Šefèoviè, 8 628,53.37, 3 168,48.88, 5 460,56.38
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,1,Zuzana,Èaputová, 7 514,47.88, 3 728,49.31, 3 786,46.55
3,Trenèiansky kraj,304,Prievidza,305,Partizánske,2,Maroš,Šefèoviè, 8 177,52.11, 3 831,50.68, 4 346,53.44
3,Trenèiansky kraj,304,Prievidza,307,Prievidza,1,Zuzana,Èaputová, 25 014,50.94, 14 055,55.12, 10 959,46.42
3,Trenèiansky kraj,304,Prievidza,307,Prievidza,2,Maroš,Šefèoviè, 24 088,49.05, 11 440,44.87, 12 648,53.57
3,Trenèiansky kraj,305,Trenèín,302,Ilava,1,Zuzana,Èaputová, 10 303,47.65, 7 573,51.35, 2 730,39.70
