Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %,"Poèet platnıch hlasov v mestách a mestskıch èastiach","Podiel platnıch hlasov v mestách a mestskıch èastiach v %","Poèet platnıch hlasov v obciach","Podiel platnıch hlasov v obciach v %"
2,Trnavskı kraj,205,Trnava,2,Maroš,Šefèoviè, 27 070,41.22, 12 836,38.52, 14 234,44.00
3,Trenèiansky kraj,301,Bánovce nad Bebravou,1,Zuzana,Èaputová, 5 928,45.03, 2 887,47.73, 3 041,42.74
3,Trenèiansky kraj,301,Bánovce nad Bebravou,2,Maroš,Šefèoviè, 7 234,54.96, 3 161,52.26, 4 073,57.25
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,1,Zuzana,Èaputová, 19 506,57.75, 10 527,60.90, 8 979,54.46
3,Trenèiansky kraj,302,Nové Mesto nad Váhom,2,Maroš,Šefèoviè, 14 265,42.24, 6 757,39.09, 7 508,45.53
3,Trenèiansky kraj,303,Povaská Bystrica,1,Zuzana,Èaputová, 17 518,45.67, 10 496,50.86, 7 022,39.63
3,Trenèiansky kraj,303,Povaská Bystrica,2,Maroš,Šefèoviè, 20 835,54.32, 10 139,49.13, 10 696,60.36
3,Trenèiansky kraj,304,Prievidza,1,Zuzana,Èaputová, 32 528,50.20, 17 783,53.79, 14 745,46.45
3,Trenèiansky kraj,304,Prievidza,2,Maroš,Šefèoviè, 32 265,49.79, 15 271,46.20, 16 994,53.54
3,Trenèiansky kraj,305,Trenèín,1,Zuzana,Èaputová, 36 962,54.80, 24 634,58.72, 12 328,48.36
3,Trenèiansky kraj,305,Trenèín,2,Maroš,Šefèoviè, 30 478,45.19, 17 317,41.27, 13 161,51.63
4,Nitriansky kraj,401,Komárno,1,Zuzana,Èaputová, 14 937,72.94, 8 605,73.45, 6 332,72.26
4,Nitriansky kraj,401,Komárno,2,Maroš,Šefèoviè, 5 539,27.05, 3 109,26.54, 2 430,27.73
4,Nitriansky kraj,402,Levice,1,Zuzana,Èaputová, 20 905,61.56, 11 004,66.59, 9 901,56.79
4,Nitriansky kraj,402,Levice,2,Maroš,Šefèoviè, 13 051,38.43, 5 519,33.40, 7 532,43.20
4,Nitriansky kraj,403,Nitra,1,Zuzana,Èaputová, 40 023,54.19, 21 762,57.43, 18 261,50.78
4,Nitriansky kraj,403,Nitra,2,Maroš,Šefèoviè, 33 829,45.80, 16 129,42.56, 17 700,49.21
4,Nitriansky kraj,404,Nové Zámky,1,Zuzana,Èaputová, 24 230,59.76, 12 320,65.59, 11 910,54.73
4,Nitriansky kraj,404,Nové Zámky,2,Maroš,Šefèoviè, 16 311,40.23, 6 463,34.40, 9 848,45.26
4,Nitriansky kraj,405,Ša¾a,1,Zuzana,Èaputová, 10 802,70.96, 5 576,71.33, 5 226,70.58
4,Nitriansky kraj,405,Ša¾a,2,Maroš,Šefèoviè, 4 419,29.03, 2 241,28.66, 2 178,29.41
4,Nitriansky kraj,406,Topo¾èany,1,Zuzana,Èaputová, 10 552,42.03, 4 119,45.63, 6 433,40.00
4,Nitriansky kraj,406,Topo¾èany,2,Maroš,Šefèoviè, 14 553,57.96, 4 906,54.36, 9 647,59.99
5,ilinskı kraj,501,Èadca,1,Zuzana,Èaputová, 9 048,32.68, 3 983,34.36, 5 065,31.47
