Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poèet okrskov ,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok,Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
4,Nitriansky kraj,401,Komárno,401,Komárno,501174,Ia,2, 1 428,  346,24.22,  346,100.00,  340,98.26
4,Nitriansky kraj,401,Komárno,401,Komárno,501182,Kamenièná,2, 1 613,  320,19.83,  320,100.00,  319,99.68
4,Nitriansky kraj,401,Komárno,401,Komárno,501191,Klíska Nemá,1,  393,  77,19.59,  77,100.00,  74,96.10
4,Nitriansky kraj,401,Komárno,401,Komárno,501204,Kolárovo,10, 8 757, 1 870,21.35, 1 870,100.00, 1 839,98.34
4,Nitriansky kraj,401,Komárno,401,Komárno,501026,Komárno,33, 28 121, 8 009,28.48, 8 009,100.00, 7 894,98.56
4,Nitriansky kraj,401,Komárno,401,Komárno,501212,Kravany nad Dunajom,1,  615,  133,21.62,  133,100.00,  133,100.00
4,Nitriansky kraj,401,Komárno,401,Komárno,501221,Lipové,1,  127,  83,65.35,  83,100.00,  82,98.79
4,Nitriansky kraj,401,Komárno,401,Komárno,501239,Marcelová,3, 3 149,  426,13.52,  426,100.00,  416,97.65
4,Nitriansky kraj,401,Komárno,401,Komárno,501247,Martovce,1,  595,  86,14.45,  86,100.00,  85,98.83
4,Nitriansky kraj,401,Komárno,401,Komárno,501255,Moèa,1,  958,  153,15.97,  153,100.00,  150,98.03
4,Nitriansky kraj,401,Komárno,401,Komárno,501263,Modrany,1, 1 082,  110,10.16,  110,100.00,  107,97.27
4,Nitriansky kraj,401,Komárno,401,Komárno,501271,Mudroòovo,1,  98,  34,34.69,  34,100.00,  32,94.11
4,Nitriansky kraj,401,Komárno,401,Komárno,501280,Nesvady,4, 4 057,  955,23.53,  955,100.00,  947,99.16
4,Nitriansky kraj,401,Komárno,401,Komárno,501301,Okolièná na Ostrove,1, 1 201,  178,14.82,  178,100.00,  175,98.31
4,Nitriansky kraj,401,Komárno,401,Komárno,501310,Patince,1,  460,  142,30.86,  142,100.00,  136,95.77
4,Nitriansky kraj,401,Komárno,401,Komárno,501328,Pribeta,2, 2 386,  576,24.14,  576,100.00,  563,97.74
4,Nitriansky kraj,401,Komárno,401,Komárno,501336,Radvaò nad Dunajom,1,  591,  121,20.47,  121,100.00,  119,98.34
4,Nitriansky kraj,401,Komárno,401,Komárno,501344,Sokolce,1, 1 020,  197,19.31,  197,100.00,  196,99.49
4,Nitriansky kraj,401,Komárno,401,Komárno,501115,Svätı Peter,3, 2 276,  592,26.01,  592,100.00,  585,98.81
4,Nitriansky kraj,401,Komárno,401,Komárno,501352,Šrobárová,1,  418,  206,49.28,  206,100.00,  203,98.54
4,Nitriansky kraj,401,Komárno,401,Komárno,501361,Tôò,1,  635,  148,23.30,  148,100.00,  146,98.64
4,Nitriansky kraj,401,Komárno,401,Komárno,501379,Trávnik,1,  572,  109,19.05,  109,100.00,  106,97.24
4,Nitriansky kraj,401,Komárno,401,Komárno,501387,Ve¾ké Kosihy,1,  808,  170,21.03,  170,100.00,  166,97.64
4,Nitriansky kraj,401,Komárno,401,Komárno,555827,Virt,1,  248,  85,34.27,  85,100.00,  84,98.82
4,Nitriansky kraj,401,Komárno,401,Komárno,501409,Vrbová nad Váhom,1,  447,  79,17.67,  79,100.00,  78,98.73
4,Nitriansky kraj,401,Komárno,401,Komárno,501417,Zemianska Olèa,2, 2 026,  323,15.94,  323,100.00,  321,99.38
4,Nitriansky kraj,401,Komárno,401,Komárno,501425,Zlatná na Ostrove,2, 2 037,  293,14.38,  293,100.00,  290,98.97
