Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Poèet okrskov,Poèet zapísanıch volièov,Poèet vydanıch obálok,"Úèas volièov v %",Poèet odovzdanıch obálok, Podiel odovzdanıch obálok v %,Poèet platnıch hlasov všetkıch kandidátov, Podiel platnıch hlasov všetkıch kandidátov v %
5,ilinskı kraj,503,Liptovskı Mikuláš,  96, 60 745, 28 479,46.88, 28 474,99.98, 27 862,97.85
5,ilinskı kraj,504,Martin,  139, 92 163, 42 951,46.60, 42 950,99.99, 42 048,97.89
5,ilinskı kraj,505,Námestovo,  77, 74 135, 30 155,40.67, 30 149,99.98, 28 919,95.92
5,ilinskı kraj,506,Ruomberok,  58, 47 390, 21 030,44.37, 21 026,99.98, 20 352,96.79
5,ilinskı kraj,507,ilina,  218, 182 891, 84 123,45.99, 84 111,99.98, 82 273,97.81
6,Banskobystrickı kraj,601,Banská Bystrica,  129, 90 805, 43 677,48.09, 43 661,99.96, 42 847,98.13
6,Banskobystrickı kraj,602,Brezno,  68, 50 146, 19 337,38.56, 19 333,99.97, 18 955,98.04
6,Banskobystrickı kraj,603,Luèenec,  133, 75 037, 24 316,32.40, 24 312,99.98, 23 841,98.06
6,Banskobystrickı kraj,604,Rimavská Sobota,  217, 94 046, 25 412,27.02, 25 409,99.98, 24 898,97.98
6,Banskobystrickı kraj,605,Ve¾kı Krtíš,  85, 35 152, 11 320,32.20, 11 320,100.00, 11 063,97.72
6,Banskobystrickı kraj,606,Zvolen,  167, 99 693, 43 072,43.20, 43 064,99.98, 42 058,97.66
6,Banskobystrickı kraj,607,iar nad Hronom,  113, 72 491, 30 411,41.95, 30 407,99.98, 29 728,97.76
7,Prešovskı kraj,701,Bardejov,  116, 59 770, 24 056,40.24, 24 055,99.99, 23 373,97.16
7,Prešovskı kraj,702,Humenné,  164, 88 895, 31 833,35.80, 31 825,99.97, 31 213,98.07
7,Prešovskı kraj,703,Kemarok,  67, 52 236, 16 606,31.79, 16 604,99.98, 15 924,95.90
7,Prešovskı kraj,704,Poprad,  136, 108 669, 44 226,40.69, 44 220,99.98, 42 941,97.10
7,Prešovskı kraj,705,Prešov,  241, 176 630, 73 808,41.78, 73 801,99.99, 71 443,96.80
7,Prešovskı kraj,706,Stará ¼ubovòa,  62, 39 741, 14 470,36.41, 14 466,99.97, 13 934,96.32
7,Prešovskı kraj,707,Stropkov,  52, 16 102, 6 478,40.23, 6 478,100.00, 6 315,97.48
7,Prešovskı kraj,708,Svidník,  78, 25 608, 9 744,38.05, 9 744,100.00, 9 509,97.58
7,Prešovskı kraj,709,Vranov nad Top¾ou,  93, 60 713, 20 190,33.25, 20 178,99.94, 19 707,97.66
8,Košickı kraj,801,Košice,  198, 190 246, 81 359,42.76, 81 348,99.98, 79 888,98.20
8,Košickı kraj,802,Košice - okolie,  144, 96 687, 33 640,34.79, 33 635,99.98, 32 929,97.90
8,Košickı kraj,803,Michalovce,  184, 103 889, 33 633,32.37, 33 630,99.99, 32 994,98.10
8,Košickı kraj,804,Roòava,  88, 47 786, 14 780,30.92, 14 780,100.00, 14 493,98.05
8,Košickı kraj,805,Spišská Nová Ves,  114, 97 195, 33 478,34.44, 33 477,99.99, 32 551,97.23
8,Košickı kraj,806,Trebišov,  127, 81 895, 22 623,27.62, 22 623,100.00, 22 129,97.81
