Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Poradie na hlasovacom lístku,Meno,Priezvisko,Poèet platnıch hlasov,Podiel platnıch hlasov z platnıch hlasov pre všetkıch kandidátov v %
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,1,Zuzana,Èaputová,  328,83.24
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,2,Maroš,Šefèoviè,  66,16.75
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,1,Zuzana,Èaputová,  403,78.25
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,2,Maroš,Šefèoviè,  112,21.74
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,1,Zuzana,Èaputová,  403,82.92
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,2,Maroš,Šefèoviè,  83,17.07
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,1,Zuzana,Èaputová,  398,80.73
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,2,Maroš,Šefèoviè,  95,19.26
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,1,Zuzana,Èaputová,  482,76.26
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,2,Maroš,Šefèoviè,  150,23.73
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,8,1,Zuzana,Èaputová,  361,70.64
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,8,2,Maroš,Šefèoviè,  150,29.35
1,Bratislavskı kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,9,1,Zuzana,Èaputová,  273,66.42
